 Iter cont_resid imp_resid energy_resid
7030 0.150818 0.061719 0.109131
7040 0.150084 0.061004 0.108694
7050 0.153377 0.060456 0.110575
7060 0.155868 0.059831 0.111577
7070 0.159238 0.059332 0.113397
7080 0.162847 0.058689 0.115073
7090 0.165201 0.057967 0.115952
7100 0.167633 0.057005 0.116818
7110 0.168018 0.055919 0.116559
7120 0.168447 0.054480 0.116919
7130 0.176521 0.054815 0.121685
7140 0.183652 0.055669 0.125957
7150 0.187869 0.056498 0.128216
7160 0.191804 0.056934 0.130619
7170 0.195299 0.057494 0.132510
7180 0.202369 0.058263 0.136974
7190 0.206609 0.058294 0.139535
7200 0.208318 0.057935 0.140671
7210 0.207781 0.056654 0.140978
7220 0.221545 0.058654 0.149844
7230 0.232673 0.061649 0.156937
7240 0.241871 0.063621 0.162347
7250 0.248632 0.064014 0.166586
7260 0.248953 0.063115 0.166471
7270 0.254830 0.064255 0.169811
7280 0.260504 0.063835 0.173355
7290 0.264379 0.062876 0.175793
7300 0.263433 0.061425 0.175364
7310 0.271026 0.060664 0.181039
7320 0.284789 0.064671 0.189364
7330 0.294532 0.069297 0.195311
7340 0.304491 0.072994 0.201068
7350 0.311707 0.075006 0.205548
7360 0.308586 0.074937 0.203745
7370 0.320074 0.072963 0.210809
7380 0.328456 0.071637 0.216327
7390 0.328652 0.069332 0.216479
7400 0.321390 0.065408 0.211569
7410 0.318838 0.061414 0.209351
7420 0.332219 0.065452 0.216976
7430 0.337505 0.070210 0.219988
7440 0.349349 0.076680 0.227314
7450 0.355292 0.081716 0.231629
7460 0.354738 0.085741 0.232103
7470 0.354078 0.085847 0.231457
7480 0.367038 0.083242 0.239209
7490 0.378259 0.077810 0.246297
7500 0.387697 0.071911 0.251361
7510 0.396618 0.067559 0.256234
7520 0.394629 0.062768 0.254734
7530 0.380922 0.058996 0.246575
7540 0.377551 0.061570 0.245106
7550 0.369769 0.064986 0.241850
7560 0.353414 0.069247 0.232302
7570 0.342923 0.075015 0.225563
7580 0.331549 0.079089 0.215516
7590 0.323429 0.081420 0.206864
7600 0.329115 0.082119 0.205628
7610 0.354106 0.083726 0.220780
7620 0.372571 0.086509 0.232790
7630 0.386132 0.088127 0.243102
7640 0.396356 0.087615 0.256247
7650 0.410327 0.083961 0.269802
7660 0.424387 0.080942 0.280731
7670 0.435763 0.080164 0.288693
7680 0.438591 0.082637 0.290340
7690 0.448275 0.092211 0.293510
7700 0.450115 0.100206 0.290733
7710 0.437900 0.106854 0.278912
7720 0.415167 0.113617 0.259403
7730 0.382557 0.120215 0.234665
7740 0.366411 0.125078 0.222566
7750 0.379192 0.124071 0.233376
